user	likes	positive	negative	total	classification	positive_comments	negative_comments	total_comments
4	8548	0	0	9	NEUTRAL	17	2	39
4	8741	1	0	26	POSITIVE	12	2	35
4	59247	8	2	198	POSITIVE	22	3	39
4	156366	7	0	154	POSITIVE	5	5	17
4	94196	5	0	189	POSITIVE	11	1	25
4	74285	5	0	166	POSITIVE	11	5	26
4	152877	1	0	42	POSITIVE	16	3	30
5	430	1	0	44	POSITIVE	16	1	39
5	173	0	0	6	NEUTRAL	3	3	10
5	522	0	0	16	NEUTRAL	8	1	27
5	379	0	0	4	NEUTRAL	8	0	17
5	458	0	0	5	NEUTRAL	9	0	25
5	234	0	0	46	NEUTRAL	9	1	15
5	664	0	0	9	NEUTRAL	19	2	43
5	629	0	0	7	NEUTRAL	17	2	48
10	41	0	1	2	NEGATIVE	2	0	6
10	85	1	0	4	POSITIVE	4	1	7
10	40	0	0	8	NEUTRAL	5	0	8
10	47	0	0	14	NEUTRAL	1	1	3
10	52	0	0	5	NEUTRAL	0	0	0
10	36	2	0	8	POSITIVE	0	0	1
10	38	2	0	18	POSITIVE	1	0	2
10	35	0	0	4	NEUTRAL	1	0	1
11	249	0	0	3	NEUTRAL	0	0	0
41	2935	0	0	20	NEUTRAL	4	2	13
41	4542	1	0	23	POSITIVE	5	2	36
41	26730	5	3	530	POSITIVE	18	4	43
41	2480	0	0	37	NEUTRAL	1	0	13
41	8207	2	0	94	POSITIVE	6	2	34
41	2810	5	0	109	POSITIVE	12	0	38
41	22938	0	0	51	NEUTRAL	12	3	35
41	6388	1	0	93	POSITIVE	1	1	11
41	952	6	1	107	POSITIVE	10	11	47
45	17	0	0	8	NEUTRAL	0	0	3
45	27	1	0	8	POSITIVE	0	0	0
62	29	0	0	10	NEUTRAL	0	1	3
62	89	0	0	5	NEUTRAL	2	0	4
112	21	0	0	4	NEUTRAL	1	1	3
117	6	1	1	35	NEUTRAL	0	0	0
117	17	1	0	20	POSITIVE	1	0	1
117	53	1	0	7	POSITIVE	0	0	4
117	34	0	0	7	NEUTRAL	1	0	2
145	37	1	0	5	POSITIVE	2	0	2
145	43	0	0	9	NEUTRAL	1	0	1
145	27	0	0	4	NEUTRAL	4	2	8
145	124	1	0	2	POSITIVE	4	0	9
145	48	1	0	2	POSITIVE	6	0	11
145	57	0	0	5	NEUTRAL	1	0	1
171	0	1	1	11	NEUTRAL	0	0	0
171	0	1	1	11	NEUTRAL	0	0	0
171	0	1	1	11	NEUTRAL	0	0	0
178	133	6	0	43	POSITIVE	3	0	15
178	4	1	0	56	POSITIVE	3	2	6
178	22	1	1	12	NEUTRAL	0	0	0
178	71	0	0	16	NEUTRAL	2	0	8
178	14	0	0	4	NEUTRAL	1	0	7
178	7	0	0	6	NEUTRAL	0	0	0
1224	1	1	1	52	NEUTRAL	0	0	0
